Page,Code,Severity,Message,BBox
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'รอข้าวไหลมาตามสายพานไปยังเครื่องอัด'),"[152.32, 309.83, 280.86, 323.06]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ยึดแน่น'),"[472.16, 311.14, 496.34, 324.36]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'น าข้าวต้มมัดลงบล๊อคแม่พิมพ์เครื่องอัดทั้ง 3 ช่อง'),"[152.32, 321.92, 305.55, 335.14]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'กดปุ่มเพื่อเริ่มและรอเครื่องท าการอัด'),"[152.32, 334.01, 268.05, 347.23]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'เครื่องอัดแม่พิมพ์ท าการอัดชิ้นข้าวต้มมัดไส้กล้วย'),"[152.32, 346.09, 303.52, 359.32]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ข้าวต้มมัดไส้กล้วยตกลงบนสายพานล าเลียงไปจุดจัดเก็บ'),"[152.32, 358.18, 327.14, 371.41]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ท าการจัดเก็บข้าวต้มมัดไส้กล้วย'),"[152.32, 370.27, 251.89, 383.5]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '5 5 3 0 1'),"[418.59, 382.36, 467.38, 395.58]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'รวม'),"[233.35, 382.36, 245.92, 395.58]"
97,PAGE_SEQ_HIDDEN_ERR,error,รูปแบบหน้าผิด: หน้าแรกของบทต้องไม่แสดงเลขหน้า (เจอ '83'),"[0, 0, 595.32, 50]"
98,PAGE_SEQ_ERROR,warning,ลำดับหน้าผิด: เจอ '84' แต่ควรเป็น '85',"[416.72, 0.0, 595.32, 97.2]"
104,PAGE_SEQ_ERROR,warning,ลำดับหน้าผิด: เจอ '84' แต่ควรเป็น '90',"[416.72, 0.0, 595.32, 97.2]"
114,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '94',"[0, 0, 595.32, 50]"
115,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '95',"[0, 0, 595.32, 50]"
116,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '96',"[0, 0, 595.32, 50]"
117,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '97',"[0, 0, 595.32, 50]"
118,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '98',"[0, 0, 595.32, 50]"
119,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '99',"[0, 0, 595.32, 50]"
120,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '100',"[0, 0, 595.32, 50]"
121,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '101',"[0, 0, 595.32, 50]"
122,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '102',"[0, 0, 595.32, 50]"
123,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '103',"[0, 0, 595.32, 50]"
124,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '104',"[0, 0, 595.32, 50]"
125,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '105',"[0, 0, 595.32, 50]"
126,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '106',"[0, 0, 841.92, 50]"
127,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '107',"[0, 0, 841.92, 50]"
128,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '108',"[0, 0, 841.92, 50]"
129,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '109',"[0, 0, 841.92, 50]"
130,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '110',"[0, 0, 841.92, 50]"
131,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '111',"[0, 0, 841.92, 50]"
132,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '112',"[0, 0, 841.92, 50]"
133,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '113',"[0, 0, 841.92, 50]"
134,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '114',"[0, 0, 841.92, 50]"
135,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '115',"[0, 0, 841.92, 50]"
136,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '116',"[0, 0, 841.92, 50]"
137,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '117',"[0, 0, 841.92, 50]"
138,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '118',"[0, 0, 841.92, 50]"
139,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '119',"[0, 0, 841.92, 50]"
140,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '120',"[0, 0, 841.92, 50]"
141,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '121',"[0, 0, 841.92, 50]"
142,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '122',"[0, 0, 841.92, 50]"
143,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '123',"[0, 0, 841.92, 50]"
144,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '124',"[0, 0, 841.92, 50]"
145,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '125',"[0, 0, 841.92, 50]"
146,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '126',"[0, 0, 841.92, 50]"
147,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '127',"[0, 0, 841.92, 50]"
148,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '128',"[0, 0, 841.92, 50]"
149,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '129',"[0, 0, 841.92, 50]"
150,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '130',"[0, 0, 841.92, 50]"
151,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '131',"[0, 0, 841.92, 50]"
152,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '132',"[0, 0, 841.92, 50]"
153,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '133',"[0, 0, 841.92, 50]"
154,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '134',"[0, 0, 841.92, 50]"
155,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '135',"[0, 0, 841.92, 50]"
156,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '136',"[0, 0, 841.92, 50]"
157,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '137',"[0, 0, 841.92, 50]"
158,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '138',"[0, 0, 841.92, 50]"
159,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '139',"[0, 0, 841.92, 50]"
160,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '140',"[0, 0, 841.92, 50]"
161,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '141',"[0, 0, 841.92, 50]"
162,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '142',"[0, 0, 841.92, 50]"
163,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '143',"[0, 0, 841.92, 50]"
164,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '144',"[0, 0, 841.92, 50]"
165,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '145',"[0, 0, 841.92, 50]"
166,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '146',"[0, 0, 841.92, 50]"
167,PAGE_SEQ_MISSING,warning,ไม่พบเลขหน้า: ควรแสดงเลข '147',"[0, 0, 841.92, 50]"
168,PAGE_SEQ_HIDDEN_ERR,error,รูปแบบหน้าผิด: หน้าแรกของบทต้องไม่แสดงเลขหน้า (เจอ '159'),"[0, 0, 595.32, 50]"
169,PAGE_SEQ_ERROR,warning,ลำดับหน้าผิด: เจอ '159' แต่ควรเป็น '149',"[416.72, 0.0, 595.32, 97.2]"
